00049.MTS;16932864;11/12/2014 10:00:18;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/20141211_gravacioRadio/videos/00049.MTS;62903472
00049.MTS;13934592;10/11/2014 10:02:44;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/20141110_ràdio/00049.MTS;649458880
00053.MTS;83122176;11/12/2014 10:06:46;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/20141211_gravacioRadio/videos/00053.MTS;331927760
00053.MTS;1410865152;10/11/2014 10:23:00;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/20141110_ràdio/00053.MTS;918483168
2014-04-25_19-35-43_232.wmv;920485017;05/05/2014 22:33:56;/media/josea/TOSHIBA EXT/fotosyvideos/videos/teatre/2014-04-25_19-35-43_232.wmv;-1968829223
2014-04-25_19-35-43_232.wmv;920485017;05/05/2014 21:33:56;/media/josea/TOSHIBA EXT/fotosyvideos/100MEDIA/2014-04-25_19-35-43_232.wmv;1383603268
2014-04-25_20-05-46_445.wmv;83915255;05/05/2014 22:36:42;/media/josea/TOSHIBA EXT/fotosyvideos/videos/teatre/2014-04-25_20-05-46_445.wmv;724527257
2014-04-25_20-05-46_445.wmv;83915255;05/05/2014 21:36:42;/media/josea/TOSHIBA EXT/fotosyvideos/100MEDIA/2014-04-25_20-05-46_445.wmv;-218007548
2014-04-25_20-05-46_445.wmv;83915255;05/05/2014 21:36:42;/media/josea/TOSHIBA EXT/fotosyvideos/100MEDIA/2014-04-25_20-05-46_445.wmv;-218007548
2014-04-25_20-05-46_445.wmv;83915255;05/05/2014 22:36:42;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/buenos2/2014-04-25_20-05-46_445.wmv;576963875
2014-04-27_17-21-06_912.wmv;29018613;05/05/2014 22:37:30;/media/josea/TOSHIBA EXT/fotosyvideos/videos/casa/2014-04-27_17-21-06_912.wmv;1799598212
2014-04-27_17-21-06_912.wmv;29018613;05/05/2014 22:37:30;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/buenos2/2014-04-27_17-21-06_912.wmv;237617155
2014-05-01_20-14-00_425.jpg;1428814;01/05/2014 19:14:00;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/pendientes/2014-05-01_20-14-00_425.jpg;283896526
2014-05-01_20-14-00_425.jpg;1428814;01/05/2014 19:14:00;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/100media/2014-05-01_20-14-00_425.jpg;1340347382
2014-05-01_20-14-05_536.jpg;1269495;01/05/2014 19:14:08;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/pendientes/2014-05-01_20-14-05_536.jpg;-1253106930
2014-05-01_20-14-05_536.jpg;1269495;01/05/2014 19:14:08;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/100media/2014-05-01_20-14-05_536.jpg;-196656074
2014-05-01_20-14-34_841.jpg;1453949;01/05/2014 19:14:34;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/pendientes/2014-05-01_20-14-34_841.jpg;-251256978
2014-05-01_20-14-34_841.jpg;1453949;01/05/2014 19:14:34;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/100media/2014-05-01_20-14-34_841.jpg;805193878
2014-05-01_20-14-53_482.jpg;1431058;01/05/2014 19:14:52;/media/josea/TOSHIBA EXT/fotosyvideos/Fotos/FotosTramuntana_curs201415/pendienteclasificar/pendientes/2014-05-01_20-14-53_482.jpg;-1229083218
